date,price,bedrooms,bathrooms,sqft_living,floors,city,country
5/2/2014 0:00,313000,3,1.5,1340,1.5,Gadag,India
5/2/2014 0:00,2384000,5,2.5,3650,2,Davangere,India
5/2/2014 0:00,342000,3,2,1930,1,Dharwad,India
5/2/2014 0:00,420000,3,2.25,2000,1,Bengalure,India
5/2/2014 0:00,550000,4,2.5,1940,1,Gajendragad,India
5/2/2014 0:00,490000,2,1,880,1,Meghalay,India
5/2/2014 0:00,335000,2,2,1350,1,Hubli,India
5/2/2014 0:00,482000,4,2.5,2710,2,Manipal,India
5/2/2014 0:00,452500,3,2.5,2430,1,Raichur,India
5/2/2014 0:00,640000,4,2,1520,1.5,Seattle,USA
5/2/2014 0:00,463000,3,1.75,1710,1,Lake Forest Park,USA
5/2/2014 0:00,1400000,4,2.5,2920,1.5,Seattle,USA
5/2/2014 0:00,588500,3,1.75,2330,1,Sammamish,USA
5/2/2014 0:00,365000,3,1,1090,1,Seattle,USA
5/2/2014 0:00,1200000,5,2.75,2910,1.5,Seattle,USA
5/2/2014 0:00,242500,3,1.5,1200,1,Kent,USA
5/2/2014 0:00,419000,3,1.5,1570,1,Bellevue,USA
5/2/2014 0:00,367500,4,3,3110,2,Auburn,USA
5/2/2014 0:00,257950,3,1.75,1370,1,Des Moines,USA
5/2/2014 0:00,275000,3,1.5,1180,1,North Bend,USA
5/2/2014 0:00,750000,3,1.75,2240,2,Seattle,USA
5/2/2014 0:00,435000,4,1,1450,1,Bellevue,USA
5/2/2014 0:00,626000,3,2.25,1750,2.5,Davangere,USA
5/2/2014 0:00,612500,4,2.5,2730,2,Bothell,USA
5/2/2014 0:00,495000,4,1.75,1600,1,Seattle,USA
5/2/2014 0:00,285000,3,2.5,2090,1,Federal Way,USA
5/2/2014 0:00,615000,3,1.75,2360,1,Seattle,USA
5/2/2014 0:00,698000,4,2.25,2200,1.5,Kirkland,USA
5/2/2014 0:00,675000,5,2.5,2820,2,Issaquah,USA
5/2/2014 0:00,790000,3,2.5,2600,1,Seattle,USA
5/2/2014 0:00,382500,4,1.75,1560,1,Kirkland,USA
5/2/2014 0:00,499950,4,2.5,2860,2,Woodinville,USA
5/2/2014 0:00,650000,4,2,1820,1.5,Seattle,USA
5/2/2014 0:00,625000,4,2.5,2820,2,Shoreline,USA
5/2/2014 0:00,400000,4,2.5,3630,1.5,Auburn,USA
5/2/2014 0:00,604000,3,2.5,3240,2,Federal Way,USA
5/2/2014 0:00,440000,2,1,800,1,Seattle,USA
5/2/2014 0:00,287200,3,3,1850,1,Maple Valley,USA
5/2/2014 0:00,403000,3,2,1960,1,Normandy Park,USA
5/2/2014 0:00,750000,3,2.5,2390,1,Seattle,USA
5/2/2014 0:00,335000,3,2.25,1580,1,Fall City,USA
5/2/2014 0:00,260000,4,2,1480,1,Renton,USA
5/2/2014 0:00,308500,2,1,850,1,Shoreline,USA
5/2/2014 0:00,439950,3,2.5,1770,2,Seattle,USA
5/2/2014 0:00,235000,2,1,1210,1,Seattle,USA
5/2/2014 0:00,315000,3,1,1160,1,Woodinville,USA
5/2/2014 0:00,437500,3,2.25,1970,2,Issaquah,USA
5/2/2014 0:00,407500,3,2.5,1930,2,Renton,USA
5/2/2014 0:00,445700,3,2.5,1270,3,Seattle,USA
5/2/2014 0:00,838000,4,2.5,3310,2,Redmond,USA
5/2/2014 0:00,630000,4,2.75,2710,2,Issaquah,USA
5/2/2014 0:00,550000,3,1.75,2910,1.5,Sammamish,USA
5/2/2014 0:00,805000,3,2,2710,1.5,Seattle,USA
5/2/2014 0:00,284000,3,1.75,1800,1,Carnation,USA
5/2/2014 0:00,470000,5,2.5,2210,1,Bothell,USA
5/2/2014 0:00,430000,4,1.5,1920,1,Bellevue,USA
5/2/2014 0:00,491500,4,1.75,2190,1,Auburn,USA
5/2/2014 0:00,785000,5,3.25,3660,2,Snoqualmie,USA
5/2/2014 0:00,385000,3,3.25,1320,2,Seattle,USA
5/2/2014 0:00,295000,2,2.5,1630,2,Seattle,USA
5/2/2014 0:00,555000,4,2.5,3310,2,Snoqualmie,USA
5/2/2014 0:00,459990,3,2.5,2680,2,North Bend,USA
5/2/2014 0:00,625000,4,3.25,2730,1,Renton,USA
5/2/2014 0:00,300000,3,2.5,2540,2,Kent,USA
5/3/2014 0:00,625000,4,2.75,2920,2,Renton,USA
5/3/2014 0:00,553000,2,1,900,1,Seattle,USA
5/3/2014 0:00,379880,3,2.5,1650,1,Issaquah,USA
5/3/2014 0:00,310000,3,1,1010,1,Snoqualmie,USA
5/4/2014 0:00,775000,2,2.5,2680,1,Redmond,USA
5/4/2014 0:00,365000,3,2.5,2200,1,Renton,USA
5/4/2014 0:00,331950,4,2.5,2530,2,Auburn,USA
5/4/2014 0:00,783500,3,2.5,2850,2,Seattle,USA
5/4/2014 0:00,628000,4,2,2280,1,Seattle,USA
5/5/2014 0:00,560000,3,2.5,1900,2,Sammamish,USA
5/5/2014 0:00,900000,3,1,1330,1,Kirkland,USA
5/5/2014 0:00,531000,2,3,1270,2,Seattle,USA
5/5/2014 0:00,831000,4,3,2170,2,Seattle,USA
5/5/2014 0:00,780000,4,2.5,2730,2,Sammamish,USA
5/5/2014 0:00,755000,4,2.5,2120,1,Bellevue,USA
5/5/2014 0:00,705380,3,2.5,2490,2,Issaquah,USA
5/5/2014 0:00,627000,4,2.25,1990,1,Issaquah,USA
5/5/2014 0:00,865000,4,3,3690,2,Sammamish,USA
5/5/2014 0:00,580000,2,1,2540,1,Seattle,USA
5/5/2014 0:00,410000,3,2.25,1800,1,Issaquah,USA
5/5/2014 0:00,485000,4,3,2340,1,Kirkland,USA
5/5/2014 0:00,400000,2,1.75,2110,1,Shoreline,USA
5/5/2014 0:00,549000,2,1,1140,1,Seattle,USA
5/5/2014 0:00,620000,3,1.75,1480,2.5,Kirkland,USA
5/5/2014 0:00,405000,2,3,1410,2,Seattle,USA
5/5/2014 0:00,232000,2,1,1200,1,Des Moines,USA
5/5/2014 0:00,800866,5,2.5,3180,2,Kirkland,USA
5/5/2014 0:00,650000,3,1.5,2160,1,Seattle,USA
5/5/2014 0:00,823000,6,1.75,2920,2.5,Seattle,USA
5/5/2014 0:00,770000,3,2,2350,1.5,Seattle,USA
5/5/2014 0:00,524000,3,1.75,1560,1,Seattle,USA
5/5/2014 0:00,541125,5,2.75,2740,1,Bellevue,USA
5/5/2014 0:00,670000,3,2.5,1680,3,Seattle,USA
5/5/2014 0:00,384900,5,2.5,3090,1,Federal Way,USA
5/5/2014 0:00,406100,3,2.25,1410,3,Seattle,USA
5/5/2014 0:00,1395000,5,3.5,4010,2,Seattle,USA
5/5/2014 0:00,736500,4,2.5,3180,2,Renton,USA
5/5/2014 0:00,570000,3,2.25,2010,1,Redmond,USA
5/5/2014 0:00,787000,3,1.75,1330,1,Bellevue,USA
5/5/2014 0:00,328000,4,2.5,2370,2,Auburn,USA
5/5/2014 0:00,435000,5,2,1840,1,Seattle,USA
5/5/2014 0:00,499000,4,2.5,2910,2,Snoqualmie,USA
5/5/2014 0:00,501000,4,1,2070,1,Bellevue,USA
5/5/2014 0:00,1090000,4,2.5,4340,2.5,Redmond,USA
5/5/2014 0:00,400000,2,1,840,1,Seattle,USA
5/5/2014 0:00,220000,4,1.5,1240,1,Federal Way,USA
5/5/2014 0:00,657100,4,1,1390,1,Seattle,USA
5/5/2014 0:00,309950,4,2.75,2310,2,Maple Valley,USA
5/5/2014 0:00,300000,3,2,1050,1,Duvall,USA
5/5/2014 0:00,525888,5,1.75,2550,1,Issaquah,USA
5/5/2014 0:00,740000,4,1.75,2010,1.5,Seattle,USA
5/5/2014 0:00,340000,5,1,1120,1.5,Kirkland,USA
5/5/2014 0:00,398750,3,2.5,2230,2,Seattle,USA
5/5/2014 0:00,206000,2,1,810,1,Burien,USA
5/5/2014 0:00,1030000,5,2.75,3190,1,Bellevue,USA
5/5/2014 0:00,600000,3,1.75,1670,1,Sammamish,USA
5/5/2014 0:00,379950,4,1.75,1970,1,Shoreline,USA
5/5/2014 0:00,287000,3,1,1450,1,Seattle,USA
5/5/2014 0:00,2280000,7,8,13540,3,Redmond,USA
